, Fuel Type, Transmission, Engine, Engine Type, Peak Power (bhp@rpm), Peak Torque (Nm@rpm), Drivetrain, Emission Standard, Steering Type, Minimum Turning Radius, Suspension - Front, Suspension - Rear, Wheels Type, Tyres Size - Front, Tyres Size - Rear, Spare Wheel, Bootspace / Dicky Capacity (L), Fuel Tank Capacity (L), Passenger Capacity, Length (mm), Width (mm), Height (mm), Wheelbase (mm), Ground Clearance (mm), No of Seating Rows, No of Doors, Airbags, Seat Belt Warning, Child Lock, Overspeed Warning, Anti theft Engine immobilizer, Type of Instrument Cluster / Dashboard Display, Trip Meter, Low Fuel Warning, Door Not Closed Warning, Adjustable Cluster Brightness, Active Gear Display, Gear Shift Indicator, Parking Sensors, Clock, Headlights On Reminder, Tachometer, Android / Apple Connectivity , Steering Adjustment, Air Conditioner, Heater, Front AC, 12V Power Outlets, Boot Access from the Last Row Seats, Brake Type - Front, Break Type - Rear, ABS - Anti Lock Braking System, EBD - Electronic Brake-force Distribution, Seat Upholstery, Adjustment Options - Driver Seat, Adjustment Options - Front Passanger Seat, Driver Armrest, Headrests, Rear Passenger Seats Type, Exterior Door Handles, Interior Door Handles, Outside Rear View Mirrors (ORVMs), Adjustable ORVM, Boot / Dikki Opener, Headlights, Headlight Height Adjuster, Tail Light, Interiors, Interior Colour(s), Lights inside Cabin, Cup Holders, Pockets inside Door, Pockets in Front Seat-back, Body Coloured Bumpers, Body Kit, Warranty (Years), Warranty (Max Kilometres), Battery Warranty (Max Kilometres),NAME, Central Locking, Anti-glare Rear View Mirrors, Folding Rear Seat, Power Windows, Speed Sensing Door Lock, Mileage or  Average Fuel Consumption, Distance to Empty, Integrated Music System, Infotainment Display, Steering Mounted Controls, Speakers, FM Radio, Bluetooth Connectivity, USB / Pen-Drive Support, Aux Support, iPod Compatibility, MP3 Playback, Vanity Mirrors on Sun Visors, Rear Wiper, Rear Glass Defogger, Turn Indicators on ORVM, Follow me home head Lights, Sunglass Holder, Roof Mounted Antenna, Rub - Strips, Others, Anchor Points for Child Seat, GPS & Navigation, Adjustment Options - Rear Row Seat, Armrest for Rear Seat, Daytime Running Lights, Fog Lamps, Puddle Lights, Ambient or soft Interior Lighting, Cooled Glove Box, Seat Adjustment, Turbo / SuperCharger, NCAP Rating (Best - 5 Star), Window Control: One Touch -Down, Doot Sill Plates, Head Rest for Middle Rear Seat, Brake Assist in Emergency (BA), Lights on Vanity Mirrors, Sunroof / Moonroof, Electronic Stability Program (ESP), Traction Control, Hill Hold Assist, Parking Assist, Voice Command Support, Push Button Start / Stop, Cruise Control Driving Mode, Split Rear Seat, WIndow Control: One Touch - Up, Rain-sensing Wipers, Automatic Head Lights, Leather-wrapped Steering, Leather-wrapped Gear Knob, Storage in Driver Armrest, CD Player, Middle rear three-point seatbelt, Tyre Pressure Monitoring (TPMS), Light inside Glove Box, Find My Car, Vehicle Status on App, Remote Car Lock/Unlock Via app, Remote AC Control Via app, Remote Car Light Flashing & Honking Via app, Remote Sunroof Open/Close Via app, Emergency Call, Over The Air (OTA) Updates, Geo-Fence, Real Time Mileage, Average Speed, Unit / Display Size, Third Row Seats Type, Cornering Headlights, Differential Lock, Hill Descent Control, 4x4 or All Wheel Drive, Rear AC, Flashing Emergency Brake Light , Adjustment Options - Third Row Seat, Chrome Finish Exhaust pipe, Alexa Compatibility, Reading Lamp for Rear Passengers, Wireless Charger, AC for Third Row, Split Third Row Seat, Third Row Cup Holders, Time for 0-100 kmph Acceleration , Forward Collision Warning , Automatic Emergency Braking, High-beam Assist, Lane Departure Warning, Mileage - ARAI Reported, Driving Range (km), Internal Hard-disk, Electric Motor, Peak Motor Performance, Battery, Battery Warranty (Years), Top Speed
89, Petrol, Manual - 6 Gears," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Petrol MT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,,,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,, Active,,,,  Vents Behind Front Armrest,No information,,,No information,No information,,,,,,,,,,,,,,,,,
90, Petrol," Automatic (TC) - 6 Gears, Manual Override"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Steel Rims, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 3 Petrol AT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,,,No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,,,No information,,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,  Vents Behind Front Armrest,No information,,,No information,,,,,,,,,,,,,,,,,,
91, Diesel," Manual - 6 Gears, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2 Turbo Diesel With CRDi, 182 bhp @ 3500 rpm, 420 Nm @ 1600 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Steel Rims, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 7, 4695, 1890, 1755, 2750,, 3, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 3 Diesel MT 7 STR (E), Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,,,,,No information,,No information,,, 60:40 split,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Bench,,,,," Blower, Vents on Pillars",No information,,,No information,,," Blower, Vents on Pillars, Yes", 50:50 split,No information,,,,,,,,,,,,,
92, Petrol, Manual - 6 Gears," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Petrol MT 5 STR (E), Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,,,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,, Active,,,,  Vents Behind Front Armrest,No information,,,No information,No information,,,,,,,,,,,,,,,,,
93, Diesel," Manual - 6 Gears, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2 Turbo Diesel With CRDi, 182 bhp @ 3500 rpm, 420 Nm @ 1600 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Diesel MT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,No information,No information,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,, Active,,,,  Vents Behind Front Armrest,No information,,,No information,No information,,,,,,,,,,,,,,,,,
94, Petrol, Manual - 6 Gears," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 7, 4695, 1890, 1755, 2750,, 3, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Petrol MT 7 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,,,No information,,No information,,, 60:40 split,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Bench, Active,,,," Blower, Vents on Pillars",No information,,,No information,No information,," Blower, Vents on Pillars, Yes", 50:50 split,No information,,,,,,,,,,,,,
95, Diesel," Automatic (TC) - 6 Gears, Manual Override, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2 Turbo Diesel With CRDi, 182 bhp @ 3500 rpm, 450 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Steel Rims, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 2 Airbags (Driver, Front Passenger)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, Halogen,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 3 Diesel AT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,,,No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,,,No information,,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,,,,,,  Vents Behind Front Armrest,No information,,,No information,,,,,, 9.3,,,,,,,,,,,,
96, Petrol, Manual - 6 Gears," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 7, 4695, 1890, 1755, 2750,, 3, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Petrol MT 7 STR (E), Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,,,No information,,No information,,, 60:40 split,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Bench, Active,,,," Blower, Vents on Pillars",No information,,,No information,No information,," Blower, Vents on Pillars, Yes", 50:50 split,No information,,,,,,,,,,,,,
97, Diesel," Manual - 6 Gears, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2 Turbo Diesel With CRDi, 182 bhp @ 3500 rpm, 420 Nm @ 1600 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 7, 4695, 1890, 1755, 2750,, 3, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information, Dynamic, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Diesel MT 7 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,," Regenerative Braking, Idle Start/Stop",No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,No information,No information,No information,,No information,,, 60:40 split,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,, Bench, Active,,,," Blower, Vents on Pillars",No information,,,No information,No information,," Blower, Vents on Pillars, Yes", 50:50 split,No information,,,,,,,,,,,,,
98, Petrol," Automatic (TC) - 6 Gears, Manual Override"," 1997 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.0 Turbo Petrol With Direct Injection (TGDi), 197 bhp @ 5000 rpm, 380 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Petrol AT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,,,No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,No information,No information,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,, Active,,,,  Vents Behind Front Armrest,No information,,,No information,No information,,,,,,,,,,,,,,,,,
99, Diesel," Automatic (TC) - 6 Gears, Manual Override, Sport Mode"," 2184 cc, 4 Cylinders Inline, 4 Valves/Cylinder, DOHC", 2.2 Turbo Diesel With CRDi, 182 bhp @ 3500 rpm, 450 Nm @ 1750 rpm, FWD, BS6 Phase 2, Power assisted (Hydraulic),, McPherson Strut Independent Suspension with FSD and Stabilizer bar, Multi-link Independent Suspension with FSD and Stabilizer bar, Alloy Wheels, 235 / 65 R17, 235 / 65 R17, Space Saver,, 60, 5, 4695, 1890, 1755, 2750,, 2, 5," 4 Airbags (Driver, Front Passenger, 2 Curtain)",No information,No information," 1 beep over 80kmph, Continuous beeps over 120kmph ",No information, Digital, Electronic 1 Trip,No information,No information,No information,No information,, Rear, Digital,No information, Digital," Android Auto (Wireless), Apple Car Play (Wireless)", Tilt, Yes (Manual),No information," Single Zone, Common Fan Speed Control",No information,No information, Ventilated Disc, Disc,No information,No information, Fabric," 8 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down, seat height up / down)"," 6 way manually adjustable (seat forward / back, backrest tilt forward / back, headrest up / down)",No information, Front & Rear, Bench, Body Coloured, Chrome, Body Coloured, Electrically Adjustable, Electric Tailgate Release, LED,No information, LED, Dual Tone,, Front and Rear, Front & Rear, Front & Rear,,No information,, 3, Unlimited, Not Applicable,Mahindra XUV700 AX 5 Diesel AT 5 STR, Remote, Manual - Internal Only, Partial, Front & Rear,No information,No information,No information,, Touch-screen Display,, 6,No information, Phone & Audio Streaming,No information,,No information,No information, Co-Driver Only,No information,No information,No information,No information,No information,No information,,,No information,No information, 2 way manually adjustable (backrest tilt forward / back), With Cup Holder, LED, Halogen,,,,, Turbocharged, 5 Star (Global NCAP),,,No information,,, Panoramic Sunroof,No information,No information,No information,,No information,,,No information,,,,,,No information,,No information,,,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,,, Active,,,,  Vents Behind Front Armrest,No information,,,No information,No information,,,,, 9.3,,,,,,,,,,,,
